Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
452,0.22986179,0.41914546,0.080678575,0.35537405,0.38519293,0.36355784
453,0.22925023,0.42210141,0.080944986,0.35520444,0.384041,0.36273233
454,0.22924932,0.42550648,0.081577851,0.35550052,0.38101436,0.36211272
455,0.22951784,0.42924372,0.081704597,0.35662723,0.37898664,0.36104091
456,0.22862668,0.43377551,0.081729239,0.35650494,0.37605075,0.36064301
457,0.22874804,0.43780464,0.081995815,0.3577832,0.37425945,0.35880428
458,0.22880576,0.4425319,0.082342003,0.35846038,0.37186503,0.35771726
459,0.22890575,0.44808169,0.082660099,0.35878483,0.36941491,0.35685865
460,0.22802537,0.45196988,0.082798342,0.35912036,0.36595088,0.35494224
461,0.22825121,0.45839827,0.083238558,0.35904274,0.36402745,0.35386042
462,0.22835246,0.46446407,0.083608914,0.36020985,0.35985272,0.35152138
463,0.22811414,0.46901673,0.084097754,0.35995301,0.35759285,0.34989492
464,0.2278007,0.47559465,0.084498316,0.36099615,0.35461445,0.34814098
465,0.22747513,0.48127034,0.084832169,0.36166443,0.35114441,0.34538774
466,0.22744313,0.48693888,0.08546733,0.36158789,0.34767966,0.34306991
467,0.22711481,0.49301349,0.086076653,0.36169808,0.34492302,0.34118559
468,0.22693976,0.49859145,0.086292363,0.36102404,0.34169062,0.33836312
469,0.22648812,0.50392637,0.087769058,0.36200545,0.33849311,0.33621395
470,0.22667808,0.50871822,0.088524084,0.36213183,0.334774,0.33319605
471,0.22629115,0.51379953,0.089416494,0.36198194,0.33099064,0.33125307
472,0.22596833,0.51804756,0.090497901,0.36221891,0.32848963,0.32883081
473,0.22560581,0.52352469,0.091881634,0.3627156,0.32426206,0.32603249
474,0.22606489,0.52650782,0.093143559,0.36238917,0.32051983,0.32281421
475,0.22541552,0.53074743,0.094431045,0.36285704,0.31593346,0.32085767
476,0.22607766,0.53440275,0.095899384,0.36411056,0.31253725,0.31794879
477,0.22522648,0.53899129,0.097753886,0.36388213,0.30703604,0.31559087
478,0.22565283,0.54332219,0.09975945,0.36368819,0.30297471,0.31314938
479,0.22473805,0.54753907,0.10167465,0.36359373,0.29720223,0.31056609
480,0.22397936,0.5500907,0.10452949,0.3638814,0.29331767,0.30755118
481,0.2241223,0.55437552,0.10653756,0.36345225,0.28761577,0.30556283
482,0.22435141,0.55736638,0.10968966,0.36319598,0.28240354,0.30347914
483,0.22449002,0.55896547,0.1129754,0.3632941,0.27701847,0.30107624
484,0.22424989,0.56293574,0.11600632,0.36317876,0.27176851,0.29858571
485,0.22396375,0.5646408,0.11981989,0.3627592,0.26660833,0.29475116
486,0.22401437,0.5650766,0.12433648,0.3637074,0.25987961,0.2925162
487,0.22386944,0.56745271,0.12787518,0.36245227,0.25495573,0.29023468
488,0.22391581,0.57004126,0.1331581,0.36301986,0.24973678,0.28767305
489,0.22360468,0.57076554,0.13864224,0.36289432,0.24444993,0.28519228
490,0.22414478,0.57212253,0.1444777,0.36269044,0.2392509,0.28316957
491,0.22379921,0.57219896,0.14995797,0.36219288,0.23390454,0.28138574
492,0.22393386,0.57228292,0.15625994,0.36231931,0.22918728,0.27926793
493,0.2239539,0.57308203,0.16295292,0.36229617,0.22437793,0.27584935
494,0.22425992,0.57223152,0.17043196,0.36138215,0.22041411,0.27426415
495,0.22395076,0.57224333,0.17771601,0.36122142,0.21593921,0.27210524
496,0.22404409,0.57112982,0.18545195,0.36173395,0.21185172,0.26993427
497,0.2243553,0.57049685,0.19386402,0.36134546,0.20794759,0.26690697
498,0.22418756,0.56913515,0.20281598,0.36111893,0.20376622,0.26464839
499,0.22422227,0.56827647,0.21151079,0.36050778,0.20014594,0.26215198
500,0.22448708,0.56532646,0.22101691,0.35967827,0.19608096,0.2593987
501,0.22451404,0.56477104,0.23061036,0.35954945,0.19279157,0.25697615
502,0.22448881,0.56258803,0.24089976,0.35885294,0.18956852,0.25372612
503,0.22429005,0.56047043,0.25091745,0.35922209,0.18622774,0.25131534
504,0.22368671,0.5583104,0.26214082,0.35834214,0.18284565,0.24872376
505,0.22377044,0.55573832,0.27378558,0.35785655,0.17981696,0.24621023
506,0.22374313,0.55307513,0.2855523,0.3575254,0.17674443,0.24301671
507,0.22328739,0.55126778,0.29860278,0.35744384,0.17364141,0.24084643
508,0.22352661,0.54719929,0.31249453,0.35655708,0.17071735,0.23796975
509,0.22336537,0.54530946,0.32605989,0.35614685,0.16783999,0.235584
510,0.22314429,0.54183831,0.34031303,0.35569962,0.16470832,0.23305674
511,0.22305299,0.53852383,0.35551863,0.35544989,0.16151554,0.23073829
512,0.22284246,0.53480099,0.37132865,0.35516723,0.15894601,0.22812032
513,0.22329258,0.53138194,0.38770913,0.35450588,0.15596343,0.22571896
514,0.22308417,0.5277042,0.4048278,0.35447901,0.15296821,0.22321364
