Wavelength,X,Y,Z
360,0.00007285603859900586,0.000002196898407946928,0.00033993876054547694
361,0.00008180011286796927,0.0000024641948185054564,0.0003818796095185545
362,0.00009187045512084849,0.00000276483001771989,0.00042914147319060434
363,0.00010320077497736639,0.000003102767620869514,0.0004823487036953323
364,0.00011592478205724589,0.0000034819718040961133,0.0005421256531664446
365,0.00013017618598020985,0.000003906407304403971,0.0006090966737376471
366,0.00014623255759693303,0.0000043821415323055115,0.0006845809140062061
367,0.0001643747768468333,0.000004917269977108958,0.000769912217166857
368,0.0001847413767671235,0.000005518799494012288,0.000865735575093263
369,0.00020747089039501658,0.000006193733573038487,0.0009726959796590876
370,0.00023270185076772543,0.0000069490863605980186,0.0010914384227379938
371,0.00026032920833921774,0.00000778836661248361,0.0012214334501310792
372,0.0002910797848217372,0.000008725494935916412,0.0013661539224311462
373,0.0003263400883986602,0.00000978310213272452,0.001532249986286912
374,0.00036749657116711337,0.000010983790961611093,0.0017263706666220968
375,0.0004159356291379734,0.000012350192224404226,0.001955166670947917
376,0.0004739454130477481,0.0000139316281692517,0.0022295557486667456
377,0.000540966911243846,0.00001572729115415519,0.0025468093037217376
378,0.0006141158322397449,0.000017684577885348713,0.0028931082450040333
379,0.0006905081088939219,0.00001975089067769128,0.0032546329205422734
380,0.000767259898409854,0.000021873637454666887,0.0036175636783650996
381,0.0008424435163790358,0.000024019721720219126,0.003972710225566558
382,0.0009211201859909784,0.000026312639787967052,0.004344153754396741
383,0.0010108884723799337,0.000028934671970032892,0.004767977353718367
384,0.001119345258092657,0.000032068098578538865,0.005280264673256652
385,0.0012540885474009015,0.0000358951999256072,0.005917093754111823
386,0.0014220023666154,0.00004057515439703299,0.006711168488591103
387,0.0016223525467251743,0.00004610976236143752,0.007659065372001587
388,0.0018513112011756575,0.000052445220279307277,0.008742752675005646
389,0.002105049321687285,0.000059527758262878716,0.009944176233765695
390,0.00237973958256799,0.0000673034998605135,0.011245298710319119
391,0.0026710453949767583,0.00007570746354309628,0.012625777621833076
392,0.002989424040204419,0.00008496618167390759,0.014135350254704486
393,0.0033532353521504195,0.00009546328420215235,0.015861034425628008
394,0.0037808397255767096,0.00010758240107703548,0.01788985355992328
395,0.004290598116107735,0.0001217071622477619,0.020308831082909946
396,0.004908316929040013,0.00013848070874174874,0.023240857576708324
397,0.005624822697342555,0.00015773696917309013,0.026643055103282267
398,0.0064060032029735585,0.00017864592312975632,0.030353811133591726
399,0.007217745106166224,0.00020037749411346763,0.03421150752997165
400,0.008025942358366234,0.00022210154953969453,0.038054526154757
401,0.008808025852620366,0.00024325431042460544,0.041776583564418025
402,0.009617356047068029,0.0002653014226501628,0.045632647850926335
403,0.010533681980418945,0.0002904572274480274,0.05000293331086893
404,0.011636780734507772,0.00032093600996361014,0.05526765984945777
405,0.013006401348044233,0.000358951999256072,0.0618070473719049
406,0.014698725417536892,0.00040637853215778045,0.06989092682640105
407,0.016703876154381216,0.0004629919927904491,0.07947516955153772
408,0.019002537454117244,0.0005278613494060074,0.09046908408125282
409,0.021575393212284997,0.0006000555702563848,0.10278186677698457
410,0.02440312732442452,0.0006786436235935111,0.11632288225892083
411,0.027479794648048127,0.0007639457619042224,0.13106913516460922
412,0.030860112928542415,0.000858541391820673,0.14728888602724377
413,0.03461576039325884,0.0009648898954002657,0.16532801874985767
414,0.03881841526954883,0.0010854500938379046,0.18553247332173395
415,0.04353975578476386,0.0012226802474659953,0.2082482458184055
416,0.04877154286879598,0.0013768052621465712,0.23343607586495374
417,0.05450277800804299,0.001550223946787161,0.2610614143314502
418,0.06080102830773987,0.0017486570988759081,0.29147732416091326
419,0.06773379356962171,0.0019778255159009564,0.3250368122101112
420,0.07536870259379837,0.00224344999535045,0.3620928292495626
421,0.08376941327388789,0.002549815526715507,0.4029706194423434
422,0.0927642455989961,0.002893669107502871,0.4468466122951604
423,0.10206749621221511,0.0032694245472241175,0.49235084506835286
424,0.11139346175663706,0.0036714956553908253,0.5381133550222601
425,0.12045643887535402,0.004094296241514571,0.5827642355034711
426,0.12910314384743374,0.004535418522887845,0.625567690999761
427,0.1373438404566049,0.004996566960644615,0.6665834533672558
428,0.1451384831204505,0.005478325412646171,0.7056341778838232
429,0.1524468579978039,0.0059812788584788,0.7425424637410808
430,0.15922886341999817,0.0065060049865163045,0.7771310783893958
